target,setsize,dyn,resp,rt,sub,reward,correct
Absent,12,Static,2,0.949263300084567,1,Absent,1
Present,8,Static,1,0.779396501427982,1,Absent,1
Absent,12,Static,2,1.49881129767891,1,Absent,1
Present,8,Static,1,1.24904038895329,1,Absent,1
Present,16,Static,1,0.599528775501312,1,Absent,1
Present,8,Static,1,1.15910857601193,1,Absent,1
Absent,12,Static,2,1.9984051526244,1,Absent,1
Present,12,Static,1,0.539594616810064,1,Absent,1
Present,16,Static,1,1.04921648037634,1,Absent,1
Absent,12,Static,2,0.939267590596501,1,Absent,1
Present,12,Static,1,0.62953879003544,1,Absent,1
Present,8,Static,1,0.549600927271968,1,Absent,1
Present,12,Static,1,1.00918242193438,1,Absent,1
Present,16,Static,1,0.759426780612557,1,Absent,1
Absent,16,Static,2,1.88848986516859,1,Absent,1
Present,8,Static,1,0.929296536512993,1,Absent,1
Absent,8,Static,2,1.05918104355806,1,Absent,1
Absent,12,Static,2,0.799424129116233,1,Absent,1
Absent,12,Static,2,1.0891433261495,1,Absent,1
Present,12,Static,1,1.37897099894872,1,Absent,1
Present,8,Static,1,0.929375053881813,1,Absent,1
Present,12,Static,1,0.679478311863932,1,Absent,1
Absent,12,Static,2,1.199088993033,1,Absent,1
Absent,12,Static,2,1.15909055185148,1,Absent,1
Present,8,Static,1,1.23900605483323,1,Absent,1
Absent,16,Static,2,2.08833570247043,1,Absent,1
Present,12,Static,1,0.649501538769982,1,Absent,1
Absent,8,Static,2,1.3489687584588,1,Absent,1
Absent,8,Static,2,1.09914810285227,1,Absent,1
Absent,8,Static,2,0.709460829031741,1,Absent,1
Present,8,Static,1,0.589565360132838,1,Absent,1
Absent,12,Static,2,1.02919822565309,1,Absent,1
Present,12,Static,1,1.20903503583759,1,Absent,1
Absent,16,Static,2,1.12911924715627,1,Absent,1
Absent,16,Static,2,1.26899504285575,1,Absent,1
Absent,16,Static,2,1.03920307753833,1,Absent,1
Present,16,Static,1,0.689462758758964,1,Absent,1
Present,16,Static,1,0.599543386297228,1,Absent,1
Absent,12,Static,2,1.16908980000881,1,Absent,1
Absent,8,Static,2,0.769435777656327,1,Absent,1
Absent,16,Static,2,2.02836389153526,1,Absent,1
Present,12,Static,1,0.609562753745195,1,Absent,1
Present,16,Static,1,0.609554212820512,1,Absent,1
Present,16,Static,1,0.609544328604898,1,Absent,1
Present,8,Static,1,0.739440063154689,1,Absent,1
Present,8,Static,1,1.04919363941553,1,Absent,1
Present,16,Static,1,0.739459921809612,1,Absent,1
Absent,8,Static,2,1.4688377875791,1,Absent,1
Absent,16,Dynamic,2,3.59707220690689,1,Absent,1
Absent,12,Dynamic,2,1.84851692646953,1,Absent,1
Absent,16,Dynamic,2,1.74860879655171,1,Absent,1
Present,8,Dynamic,1,0.549581780362132,1,Absent,1
Present,16,Dynamic,1,3.47716403187769,1,Absent,1
Absent,8,Dynamic,2,2.6978310911727,1,Absent,1
Present,8,Dynamic,1,0.939305708987376,1,Absent,1
Present,12,Dynamic,1,2.02836217733602,1,Absent,1
Present,16,Dynamic,1,0.889317091874545,1,Absent,1
Present,12,Dynamic,1,0.509622800862417,1,Absent,1
Present,12,Dynamic,1,0.649530640068406,1,Absent,1
Absent,16,Dynamic,2,2.56791117237117,1,Absent,1
Present,16,Dynamic,2,3.06752185354162,1,Absent,0
Present,16,Dynamic,1,3.22740264147069,1,Absent,1
Absent,8,Dynamic,2,1.92844456919374,1,Absent,1
Present,12,Dynamic,1,0.729462167309975,1,Absent,1
Absent,12,Dynamic,2,1.93842516164659,1,Absent,1
Absent,8,Dynamic,2,2.22824402786864,1,Absent,1
Present,8,Dynamic,1,1.3589402987327,1,Absent,1
Present,12,Dynamic,1,1.16909127361942,1,Absent,1
Present,8,Dynamic,1,1.53879096285891,1,Absent,1
Present,8,Dynamic,1,1.17908112375335,1,Absent,1
Present,16,Dynamic,1,0.619527336973988,1,Absent,1
Absent,16,Dynamic,2,3.37724403288121,1,Absent,1
Absent,12,Dynamic,2,2.59790606485876,1,Absent,1
Absent,8,Dynamic,2,2.97759354919435,1,Absent,1
Absent,16,Dynamic,2,2.73780301238003,1,Absent,1
Absent,12,Dynamic,2,2.76777480326746,1,Absent,1
Absent,8,Dynamic,2,2.55795789684817,1,Absent,1
Absent,12,Dynamic,2,2.01840499724312,1,Absent,1
Absent,16,Dynamic,2,3.2373143601817,1,Present,1
Absent,16,Dynamic,2,2.97760043606831,1,Present,1
Present,12,Dynamic,1,2.58791329256746,1,Present,1
Absent,8,Dynamic,2,3.62705562628435,1,Present,1
Absent,8,Dynamic,1,3.17744234875317,1,Present,0
Absent,12,Dynamic,2,3.8368828078801,1,Present,1
Present,8,Dynamic,1,0.909331572351221,1,Present,1
Absent,16,Dynamic,-1,4.99547745476411,1,Present,0
Absent,8,Dynamic,2,3.37725949576452,1,Present,1
Absent,8,Dynamic,2,4.20658418124549,1,Present,1
Present,16,Dynamic,1,2.15825676407258,1,Present,1
Present,12,Dynamic,1,2.53794409302827,1,Present,1
Present,16,Dynamic,1,1.62869453160238,1,Present,1
Absent,8,Dynamic,2,4.01674381234079,1,Present,1
Present,8,Dynamic,2,4.20657128464882,1,Present,0
Present,12,Dynamic,1,1.53876798656711,1,Present,1
Absent,12,Dynamic,2,2.91764356172644,1,Present,1
Absent,12,Dynamic,2,3.38723872487571,1,Present,1
Present,16,Dynamic,1,0.909299804519833,1,Present,1
Present,12,Dynamic,1,0.569566783618939,1,Present,1
Absent,12,Dynamic,2,3.19743014385131,1,Present,1
Present,8,Dynamic,1,0.569576327001414,1,Present,1
Absent,12,Dynamic,2,2.69781215979128,1,Present,1
Present,16,Dynamic,2,2.32812921156801,1,Present,0
Absent,16,Dynamic,2,4.96595820259608,1,Present,1
Absent,16,Dynamic,2,2.34810875144103,1,Present,1
Present,16,Dynamic,-1,4.99549447646677,1,Present,0
Present,8,Dynamic,1,2.1982354267966,1,Present,1
Present,12,Dynamic,1,1.608737667284,1,Present,1
Present,8,Dynamic,1,2.96758713347663,1,Present,1
Absent,8,Static,2,1.62866975088946,1,Present,1
Present,16,Static,2,1.13912447496295,1,Present,0
Present,8,Static,1,0.81937264798762,1,Present,1
Present,8,Static,1,1.00921922710586,1,Present,1
Absent,16,Static,2,1.44886642774873,1,Present,1
Absent,16,Static,2,1.88850322289727,1,Present,1
Present,12,Static,1,0.839358332916163,1,Present,1
Absent,8,Static,2,0.789410159892213,1,Present,1
Present,16,Static,1,1.28899644128069,1,Present,1
Absent,8,Static,2,1.39889375470011,1,Present,1
Absent,16,Static,2,1.67866618715925,1,Present,1
Present,8,Static,1,1.99839803017312,1,Present,1
Present,16,Static,1,1.40888569996605,1,Present,1
Absent,16,Static,2,2.49799018595513,1,Present,1
Present,8,Static,1,0.609541356323462,1,Present,1
Absent,12,Static,2,1.55878397574088,1,Present,1
Absent,12,Static,2,1.30898132925722,1,Present,1
Absent,12,Static,2,1.48892593353776,1,Present,1
Absent,12,Static,2,1.48880963861484,1,Present,1
Absent,12,Static,2,1.61871101699035,1,Present,1
Absent,8,Static,2,1.02919934840247,1,Present,1
Absent,8,Static,2,1.4488883514623,1,Present,1
Present,16,Static,1,1.36892108666143,1,Present,1
Absent,16,Static,2,2.45803371259717,1,Present,1
Present,12,Static,1,0.719437897849275,1,Present,1
Present,16,Static,1,1.48879665680943,1,Present,1
Present,8,Static,1,0.739421357324318,1,Present,1
Present,12,Static,1,0.77940155881879,1,Present,1
Present,12,Static,1,0.759427567541934,1,Present,1
Present,12,Static,1,0.559615798705636,1,Present,1
Present,12,Static,1,0.609539050674357,1,Present,1
Absent,16,Static,2,1.38889629091318,1,Present,1
Present,8,Static,1,0.899327712895683,1,Present,1
Absent,8,Static,2,1.1790631948279,1,Present,1
Present,16,Static,1,1.30896776101326,1,Present,1
Absent,16,Static,2,1.24903053982416,1,Present,1
Absent,16,Static,2,1.90848053731679,1,Present,1
Present,16,Static,2,1.30898338930456,1,Present,0
Present,8,Static,1,0.629516710941971,1,Present,1
Absent,16,Static,2,1.80855959601104,1,Present,1
Absent,16,Static,2,1.67866940002932,1,Present,1
Present,12,Static,1,1.00920618014061,1,Present,1
Absent,8,Static,2,0.789398711844115,1,Present,1
Absent,8,Static,2,0.799413513106629,1,Present,1
Present,8,Static,1,0.91928704325619,1,Present,1
Present,8,Static,1,0.929260663626337,1,Present,1
Present,12,Static,1,2.06833129667575,1,Present,1
Present,16,Static,2,2.25820514259976,1,Present,0
Absent,12,Static,2,1.96842626936086,1,Present,1
Present,12,Static,1,0.919302506139502,1,Present,1
Present,16,Static,1,1.02918976993533,1,Present,1
