target,setsize,location,dyn,resp,rt,sub,exp,correct
Present,16,2,Dynamic,1,0.950834620371097,1,4,1
Present,8,3,Dynamic,1,0.76084800645549,1,4,1
Present,12,4,Dynamic,1,1.29087421624899,1,4,1
Present,8,2,Dynamic,1,1.23088751879641,1,4,1
Present,8,3,Dynamic,1,0.580811988331334,1,4,1
Absent,8,3,Dynamic,2,1.54092294213115,1,4,1
Present,8,1,Dynamic,1,0.710823846678068,1,4,1
Absent,12,1,Dynamic,2,1.06083571137424,1,4,1
Absent,8,4,Dynamic,2,1.01090086244403,1,4,1
Absent,8,1,Dynamic,2,0.830851897643697,1,4,1
Present,12,2,Dynamic,1,0.750810357674709,1,4,1
Absent,8,2,Dynamic,2,0.630778083711448,1,4,1
Absent,16,3,Dynamic,2,0.740782858727471,1,4,1
Present,12,4,Dynamic,1,0.660780887905275,1,4,1
Present,12,1,Dynamic,1,0.67082137863963,1,4,1
Absent,12,4,Dynamic,2,0.670844061804928,1,4,1
Present,8,4,Dynamic,1,0.730822674477167,1,4,1
Present,16,1,Dynamic,1,0.650844296378636,1,4,1
Present,16,3,Dynamic,1,0.530809343526926,1,4,1
Present,12,3,Dynamic,1,0.570829720048096,1,4,1
Present,16,3,Dynamic,1,0.710841597441686,1,4,1
Absent,12,1,Dynamic,2,0.710781746004614,1,4,1
Present,12,4,Dynamic,1,0.580795708499863,1,4,1
Absent,16,2,Dynamic,2,0.7408047472818,1,4,1
Present,16,4,Dynamic,1,0.590820518201326,1,4,1
Present,12,2,Dynamic,2,0.640763647391395,1,4,0
Absent,8,1,Dynamic,2,0.72079455133553,1,4,1
Present,16,4,Dynamic,1,0.580759888527609,1,4,1
Absent,16,3,Dynamic,2,1.60099887558226,1,4,1
Absent,8,4,Dynamic,2,1.42092674677406,1,4,1
Absent,16,1,Dynamic,2,1.01084346200423,1,4,1
Absent,12,2,Dynamic,2,0.76081744935891,1,4,1
Present,12,1,Dynamic,1,0.720782983366007,1,4,1
